Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
385401;Länsförsäkringar Asienfond;    155,72;  155,72;2019-05-14
492306;Länsförsäkringar Europa Aktiv;    489,80;  489,80;2019-05-14
479840;Länsförsäkringar Europa Indexnära;    212,55;  212,55;2019-05-14
494302;Länsförsäkringar Fastighet Europa;    122,59;  122,59;2019-05-14
313742;Länsförsäkringar Fastighetsfond;   4867,81; 4867,81;2019-05-14
458471;Länsförsäkringar FossilSmart;    123,38;  123,38;2019-05-14
874560;Länsförsäkringar Företagsobligation Norden;    108,40;  108,40;2019-05-14
563965;Länsförsäkringar Global Hållbar;     48,60;   48,60;2019-05-14
658997;Länsförsäkringar Global Indexnära;    228,63;  228,63;2019-05-14
212621;Länsförsäkringar Global Strategisk Ränta;     71,76;   71,76;2019-05-13
470104;Länsförsäkringar Japan Indexnära;    119,32;  119,32;2019-05-14
838730;Länsförsäkringar Kort Ränta Företag;    102,12;  102,12;2019-05-14
420646;Länsförsäkringar Kort Räntefond;    104,01;  104,01;2019-05-14
242081;Länsförsäkringar Lång Räntefond;    165,50;  165,50;2019-05-14
599795;Länsförsäkringar Mix;    384,51;  384,51;2019-05-14
515676;Länsförsäkringar Småbolag Sverige;    990,64;  990,64;2019-05-14
814772;Länsförsäkringar Sparmål 2015;    203,97;  203,97;2019-05-13
778944;Länsförsäkringar Sparmål 2020;    226,38;  226,38;2019-05-13
743112;Länsförsäkringar Sparmål 2025;    261,62;  261,62;2019-05-13
707281;Länsförsäkringar Sparmål 2030;    265,37;  265,37;2019-05-13
671453;Länsförsäkringar Sparmål 2035;    141,56;  141,56;2019-05-13
635623;Länsförsäkringar Sparmål 2040;    142,43;  142,43;2019-05-13
832360;Länsförsäkringar Sparmål 2045;    170,02;  170,02;2019-05-13
140905;Länsförsäkringar Sparmål 2050;    145,06;  145,06;2019-05-13
105072;Länsförsäkringar Sparmål 2055;    143,73;  143,73;2019-05-13
969246;Länsförsäkringar Sparmål 2060;    142,11;  142,11;2019-05-13
528133;Länsförsäkringar Sverige Aktiv;   1618,37; 1618,37;2019-05-14
587337;Länsförsäkringar Sverige Indexnära;    323,84;  323,84;2019-05-14
206250;Länsförsäkringar Tillväxtmarknad Aktiv;    372,50;  372,50;2019-05-14
434274;Länsförsäkringar Tillväxtmarknad Indexnära;    149,26;  149,26;2019-05-14
456475;Länsförsäkringar USA Aktiv;    403,01;  403,01;2019-05-14
551507;Länsförsäkringar USA Indexnära;    398,64;  398,64;2019-05-14
152835;Lärarfond 21-44 år;     26,42;   26,42;2019-05-14
117002;Lärarfond 45-58 år;     22,12;   22,12;2019-05-14
981175;Lärarfond 59+;     15,78;   15,78;2019-05-14
119776;Monyx Strategi Balanserad;    162,92;  162,92;2019-05-13
762880;Monyx Strategi Offensiv;    222,93;  222,93;2019-05-13
983940;Monyx Strategi Sverige/Världen;    171,67;  171,67;2019-05-13
912287;Monyx Strategi Världen;    185,28;  185,28;2019-05-13
615310;Naventi Balanserad Flex;    155,95;  155,95;2019-05-14
447086;Naventi Defensiv Flex;    128,44;  128,44;2019-05-14
727057;Naventi Offensiv Flex;    191,72;  191,72;2019-05-14
809699;NN (L) Alternative Beta ;   4138,71; 4137,95;2019-05-14
992099;NN (L) Asia Income;  10741,30;10739,07;2019-05-14
323832;NN (L) Emerging Markets Debt (Hard Currency);  54623,18;54613,05;2019-05-14
140434;NN (L) Emerging Markets Debt (Local Currency) ;    447,77;  447,69;2019-05-14
848770;NN (L) EURO Equity ;   1667,33; 1667,02;2019-05-14
288001;NN (L) Euromix Bond;   1875,03; 1874,69;2019-05-14
899773;NN (L) European Equity ;    691,08;  690,95;2019-05-14
857037;NN (L) First Class Protection;    332,54;  332,48;2019-05-14
523050;NN (L) Global Equity Impact Opportunities;   4916,87; 4915,95;2019-05-14
558882;NN (L) Global Real Estate;   4142,92; 4142,15;2019-05-14
594713;NN (L) Global Sustainable Equity;   3641,20; 3640,53;2019-05-14
666370;NN (L) Greater China Equity ;  11672,20;11669,77;2019-05-14
401695;NN (L) Information Technology;  16293,07;16289,68;2019-05-14
920439;NN (L) Japan Equity;    403,43;  403,34;2019-05-14
956268;NN (L) Latin America Equity ;  17211,00;17207,42;2019-05-14
494427;Nordea Far East Fund;    271,28;  271,28;2019-05-14
430975;Nordea Generationsfond 50-tal;    116,46;  116,46;2019-05-14
359315;Nordea Generationsfond 60-tal;    143,88;  143,88;2019-05-14
287656;Nordea Generationsfond 70-tal;    145,41;  145,41;2019-05-14
215996;Nordea Generationsfond 80-tal;    138,73;  138,73;2019-05-14
596429;Nordea Generationsfond 90-tal;    171,96;  171,96;2019-05-14
502633;Nordea Generationsfond Senior;     82,96;   82,96;2019-05-14
167239;Nordea Nya Tillväxtmarknader;    105,25;  105,25;2019-05-14
648964;Nordea Obligationsfond;    132,67;  132,67;2019-05-14
613133;Nordea Swedish Bond Stars;    100,23;  100,23;2019-05-14
203067;Nordea Swedish Stars;   2809,64; 2809,64;2019-05-14
133116;Norron Sicav-Target;    134,62;  134,62;2019-05-14
419101;Odin Emerging Markets;    315,04;  314,89;2019-05-14
526590;Odin Energi;    171,27;  171,19;2019-05-14
280867;Odin Europa;    202,38;  202,29;2019-05-14
634386;Odin Finland;  10202,13;10197,49;2019-05-14
562421;Odin Global;    307,35;  307,21;2019-05-14
598557;Odin Norden;   2770,50; 2769,24;2019-05-14
562728;Odin Norge;   3868,87; 3867,11;2019-05-14
450981;Odin Sverige;   5369,49; 5367,04;2019-05-14
443309;OPM Global Quality Companies;    142,08;  142,08;2019-05-13
341362;OPM Listed Private Equity;    328,10;  328,10;2019-05-13
167643;Pareto Global;   2325,69; 2325,69;2019-05-13
606103;Pareto Global Corporate Bond;    105,67;  105,67;2019-05-13
917955;Pictet Asian Equities (Ex Japan);   2137,10; 2136,65;2019-05-14
260919;Pictet Biotech;   5697,68; 5696,49;2019-05-14
887497;Pictet Clean Energy;    761,26;  761,10;2019-05-14
296749;Pictet Digital;   3081,54; 3080,90;2019-05-14
368407;Pictet Emerging Europe;   3266,91; 3266,30;2019-05-14
404236;Pictet Emerging Markets;   4772,35; 4771,36;2019-05-14
280925;Pictet EUR Bonds;   5840,20; 5839,12;2019-05-13
352583;Pictet EUR Corporate Bonds;   2064,32; 2063,94;2019-05-13
475897;Pictet European Equity Selection;   6509,10; 6507,90;2019-05-14
810465;Pictet European Sustainable Equities;   2630,42; 2629,93;2019-05-14
316752;Pictet Global Bonds;   1759,04; 1758,67;2019-05-13
173435;Pictet Global Emerging Debt;   3404,47; 3403,76;2019-05-13
690693;Pictet Global Megatrend Selection;   2383,68; 2383,18;2019-05-14
882126;Pictet Greater China;   4805,21; 4804,20;2019-05-14
688986;Pictet Health;   2316,63; 2316,15;2019-05-14
874271;Pictet Indian Equities;   4383,22; 4382,31;2019-05-14
910109;Pictet Japanese Equities Opportunities;    780,06;  779,89;2019-05-14
866897;Pictet Japanese Equity Selection;   1125,43; 1125,18;2019-05-14
923383;Pictet Premium Brands;   1539,37; 1539,08;2019-05-14
558700;Pictet Robotics;   1588,03; 1587,70;2019-05-14
925099;Pictet Russian Equities;    638,79;  638,65;2019-05-14
968891;Pictet Security;   2148,91; 2148,47;2019-05-14
440065;Pictet Small Cap Europe;  11370,40;11368,29;2019-05-14
755033;Pictet Timber;   1395,05; 1394,76;2019-05-14
189258;Pictet Water;   3050,57; 3050,01;2019-05-14
376319;PineBridge Emerging Europe Equity Fund;   3546,47; 3545,73;2019-05-14
891036;PineBridge Europe Small Cap Equity Fund;  10606,78;10604,81;2019-05-14
483800;PineBridge Global Bond Fund;   2879,96; 2879,36;2019-05-14
232991;PineBridge Global Emerging Markets Focus Equity Fund;   3796,70; 3795,90;2019-05-14
555466;PineBridge Global Focus Equity Fund;   1855,96; 1855,58;2019-05-14
246868;PineBridge Greater China Equity Fund;    378,02;  377,94;2019-05-14
304659;PineBridge US Research Enhanced Core Equity Fund;   1933,59; 1933,19;2019-05-14
564849;Placeringsfond Nordea Europa;  15650,60;15650,60;2019-05-14
282517;Placeringsfond Nordea Global;      4,23;    4,23;2019-05-14
995571;Placeringsfond Nordea Globala Tillväxtmarknader;    254,56;  254,56;2019-05-14
469692;Placeringsfond Nordea Indien;    253,50;  253,50;2019-05-14
218115;Placeringsfond Nordea Japan ;      2,46;    2,46;2019-05-14
653097;Placeringsfond Nordea Kina;    255,34;  255,34;2019-05-14
182287;Placeringsfond Nordea Nordamerikanska Aktier ;    207,79;  207,79;2019-05-14
861757;Placeringsfond Nordea Nordiska Länder;      1,81;    1,81;2019-05-14
131409;Placeringsfond Nordea Realränta;    168,12;  168,12;2019-05-14
433862;Placeringsfond Nordea Ryssland;    164,88;  164,88;2019-05-14
286294;Placeringsfond Nordea Småbolagsfond Norden;    138,87;  138,87;2019-05-14
840090;Placeringsfond Nordea Stratega Ränta;    134,89;  134,89;2019-05-14
816249;Placeringsfond UB Asia REIT Plus;   1736,82; 1736,50;2019-05-14
744581;Placeringsfond UB EM Infra;   1523,23; 1522,95;2019-05-14
852079;Placeringsfond UB Europa REIT;   1674,16; 1673,85;2019-05-14
887901;Placeringsfond UB Global REIT;   1547,99; 1547,70;2019-05-14
780411;Placeringsfond UB Infra;   1685,18; 1684,87;2019-05-14
369876;Placeringsfond UB Nordamerika REIT;   1406,85; 1406,59;2019-05-14
664482;Placeringsfonden Evli Corporate Bond ;   1343,60; 1343,60;2019-05-13
229625;Placeringsfonden Evli Emerging Markets Credit;   1217,74; 1217,51;2019-05-13
764951;Placeringsfonden Evli Europa;   1308,52; 1308,28;2019-05-13
570044;Placeringsfonden Evli Finland Select;    405,32;  405,24;2019-05-13
793109;Placeringsfonden Evli Global;   2207,78; 2207,78;2019-05-13
700310;Placeringsfonden Evli High Yield ;   1596,58; 1596,58;2019-05-13
574582;PLaceringsfonden Evli Likviditet;   1050,65; 1050,65;2019-05-13
668269;Placeringsfonden Evli Nordic;   2688,19; 2687,70;2019-05-13
621631;Placeringsfonden Evli Short Corporate Bond;    317,42;  317,36;2019-05-13
487108;Prior & Nilsson Realinvest;   2949,43; 2949,43;2019-05-13
328021;Prior & Nilsson Sverige Aktiv;   2634,80; 2634,80;2019-05-13
607879;PriorNilsson Smart Global;   1246,51; 1246,51;2019-05-13
301580;SEB Aktiesparfond;     17,14;   17,14;2019-05-14
914945;SEB Asienfond ex Japan;     22,07;   22,07;2019-05-14
639633;SEB Asset Selection Lux Ack;    163,50;  163,50;2019-05-14
651679;SEB Dynamic Bond Fund;    102,76;  102,76;2019-05-14
520759;SEB Dynamisk Aktiefond;     14,44;   14,44;2019-05-14
950774;SEB Emerging Marketsfond;     27,79;   27,79;2019-05-13
122432;SEB Europafond;     12,89;   12,89;2019-05-14
556589;SEB Europafond Småbolag;     75,52;   75,52;2019-05-14
405704;SEB Green Bond Fund;     98,78;   98,78;2019-05-13
377432;SEB Japanfond;      8,64;    8,64;2019-05-14
843284;SEB Korträntefond SEK;     10,14;   10,14;2019-05-14
823039;SEB Latinamerikafond;     25,95;   25,95;2019-05-14
229922;SEB Läkemedelsfond;     18,57;   18,57;2019-05-14
986604;SEB Nordamerikafond;     14,77;   14,77;2019-05-14
484923;SEB Nordenfond;     30,98;   30,98;2019-05-14
997403;SEB Pension Fund;    146,42;  146,42;2019-05-13
810101;SEB Pension Fund Plus;    114,75;  114,75;2019-05-13
626705;SEB Pensionsfond Extra;    112,84;  112,84;2019-05-13
496497;SEB Realräntefond SEK (SEB Fund 3- SEB Index Linked Bond Fund);     14,84;   14,84;2019-05-14
259903;SEB Rysslandfond - Lux;    128,27;  128,24;2019-05-14
158261;SEB Sverige Expanderad;     20,16;   20,16;2019-05-14
194092;SEB Teknologifond;     51,04;   51,04;2019-05-13
879114;SEB Världenfond;     16,22;   16,22;2019-05-14
449090;SEB Östeuropafond;     30,66;   30,66;2019-05-14
443721;Seligson & Co Euroobligation;     44,20;   44,19;2019-05-14
479550;Seligson & Co Global Top 25 Brands;    101,04;  101,02;2019-05-14
416982;Seligson & Co Global Top 25 Pharmaceuticals;    292,93;  292,88;2019-05-14
303701;Sensor Sverige Select;    251,63;  251,63;2019-05-13
832717;Simplicity Företagsobligationer;    125,87;  125,87;2019-05-14
934711;Simplicity Global Corporate Bond;    123,23;  123,23;2019-05-14
660290;Simplicity Kina;    156,09;  156,09;2019-05-14
418699;Simplicity Likviditet;    111,17;  111,17;2019-05-14
484980;Simplicity Norden;    642,66;  642,66;2019-05-14
293902;Simplicity Småbolag Global;    109,14;  109,14;2019-05-14
908509;Simplicity Småbolag Sverige;    137,35;  137,35;2019-05-14
290304;Simplicity Sverige;    144,05;  144,05;2019-05-14
984187;SKAGEN Global;   2054,71; 2053,78;2019-05-14
501981;SKAGEN Kon-Tiki;    910,83;  910,42;2019-05-14
311027;SKAGEN m2;    235,52;  235,42;2019-05-14
252296;SKAGEN Tellus;    128,82;  128,76;2019-05-14
120014;SKAGEN Vekst;   2638,94; 2637,74;2019-05-14
618629;Skandia Asien;    417,59;  417,59;2019-05-14
654459;Skandia Europa Exponering;    564,62;  564,62;2019-05-14
545426;Skandia Global Exponering;    227,70;  227,70;2019-05-14
582791;Skandia Japan Exponering;    207,27;  207,27;2019-05-14
726117;Skandia Kapitalmarknadsfond;    183,18;  183,18;2019-05-14
331983;Skandia Korträntefond;    130,98;  130,98;2019-05-14
256362;Skandia Nordamerika Exponering;    277,48;  277,48;2019-05-14
611657;Skandia Norden;    217,89;  217,89;2019-05-14
469817;Skandia Realräntefond;    155,62;  155,62;2019-05-14
546960;Skandia Smart Balanserad;    390,75;  390,75;2019-05-14
403642;Skandia Smart Försiktig;    197,22;  197,22;2019-05-14
367813;Skandia Smart Offensiv;    507,05;  507,05;2019-05-14
103606;Skandia Småbolag Sverige;    878,79;  878,79;2019-05-14
292193;Skandia Sverige Exponering;    183,29;  183,29;2019-05-14
827105;Skandia Sverige Hållbar;    111,63;  111,63;2019-05-14
802900;Skandia Tillväxtmarknadsfond;    152,61;  152,61;2019-05-14
439471;Skandia Time Global;    332,87;  332,87;2019-05-14
511139;Skandia USA;   1182,00; 1182,00;2019-05-14
475301;Skandia Världen;    521,53;  521,53;2019-05-14
272898;Spiltan Aktiefond Småland;    448,79;  448,79;2019-05-14
339184;Spiltan Aktiefond Stabil;    738,92;  738,92;2019-05-14
152181;Spiltan Aktiefond Sverige;    685,04;  685,04;2019-05-14
358309;Spiltan Globalfond Investmentbolag;    136,45;  136,45;2019-05-14
560599;Spiltan Högräntefond;    114,70;  114,70;2019-05-14
972497;Spiltan Räntefond Sverige;    122,55;  122,55;2019-05-14
140673;SPP Aktiefond Europa;    143,26;  143,26;2019-05-14
407064;SPP Aktiefond Global A;    139,56;  139,56;2019-05-14
176503;SPP Aktiefond Japan;     90,93;   90,93;2019-05-14
912220;SPP Aktiefond Stabil A;    210,99;  210,99;2019-05-14
212332;SPP Aktiefond Sverige;    315,60;  315,60;2019-05-14
248161;SPP Aktiefond USA;    261,20;  261,20;2019-05-14
971077;SPP Emerging Markets Plus;    150,44;  150,44;2019-05-14
459891;SPP Emerging Markets SRI;    140,11;  140,11;2019-05-14
331686;SPP Företagsobligationsfond A;    110,77;  110,77;2019-05-14
391482;SPP Generation 40-tal;    255,36;  255,36;2019-05-14
427310;SPP Generation 50-tal;    381,00;  381,00;2019-05-14
463141;SPP Generation 60-tal;    526,17;  526,17;2019-05-14
498972;SPP Generation 70-tal;    239,42;  239,42;2019-05-14
844522;SPP Generation 80-tal;    126,00;  126,00;2019-05-14
473702;SPP Global Plus;    156,36;  156,36;2019-05-14
184119;SPP Global Solutions A;    259,93;  259,93;2019-05-14
721506;SPP Grön Obligationsfond A;    102,93;  102,93;2019-05-14
442897;SPP Korträntefond;    117,90;  117,90;2019-05-14
534800;SPP Obligationsfond;    151,38;  151,38;2019-05-14
706275;SPP Sverige Plus;    130,52;  130,52;2019-05-14
978981;Swedbank Robur Access Asien;    252,55;  252,55;2019-05-14
755504;Swedbank Robur Access Europa;    142,18;  142,18;2019-05-14
114819;Swedbank Robur Access Global;    157,20;  157,20;2019-05-14
943159;Swedbank Robur Access Japan;    137,68;  137,68;2019-05-14
719674;Swedbank Robur Access Sverige;    186,43;  186,43;2019-05-14
150649;Swedbank Robur Access USA;    315,22;  315,22;2019-05-14
785022;Swedbank Robur Aktiefond Pension;     28,38;   28,38;2019-05-14
677534;Swedbank Robur Ethica Obligation;     13,71;   13,71;2019-05-14
968420;Swedbank Robur Fastighet ;     53,32;   53,32;2019-05-14
928341;Swedbank Robur Medica;     21,84;   21,84;2019-05-14
749192;Swedbank Robur Mixfond Pension;     21,69;   21,69;2019-05-14
820852;Swedbank Robur Nordenfond;    112,40;  112,40;2019-05-14
752204;Swedbank Robur Rysslandsfond;     29,69;   29,69;2019-05-14
717611;Swedbank Robur Räntefond Kort;    101,04;  101,04;2019-05-14
896761;Swedbank Robur Småbolagsfond Europa;     41,31;   41,31;2019-05-14
860932;Swedbank Robur Småbolagsfond Norden;    168,88;  168,88;2019-05-14
856682;Swedbank Robur Småbolagsfond Sverige;    131,57;  131,57;2019-05-14
283408;Swedbank Robur Technology;    363,07;  363,07;2019-05-14
855387;Swedbank Robur Transfer 50;    153,79;  153,79;2019-05-14
819557;Swedbank Robur Transfer 60;    185,32;  185,32;2019-05-14
783720;Swedbank Robur Transfer 70;    236,67;  236,67;2019-05-14
747899;Swedbank Robur Transfer 80;    263,52;  263,52;2019-05-14
320762;Swedbank Robur Transfer 90;    205,41;  205,41;2019-05-14
825109;Swedbank Robur Östeuropafond;     35,91;   35,91;2019-05-14
946285;Söderberg & Partners Proaktiv 75 PM;    194,60;  194,60;2019-05-14
982116;Söderberg & Partners Proaktiv 80 PM;    171,44;  171,44;2019-05-14
660704;TRIGON - New Europe Fund;    369,66;  369,59;2019-05-14
878223;Tundra Frontier Africa Fund;     72,99;   72,99;2019-05-14
705806;Tundra Pakistan Fund;    154,01;  154,01;2019-05-14
861229;Tundra Sustainable Frontier Fund;    178,75;  178,75;2019-05-14
762823;Tundra Vietnam Fund;    201,64;  201,64;2019-05-14
259499;UBS (Lux) Bond Fund - Global Flexible (EUR hedged) P-acc;   1356,51; 1356,26;2019-05-13
843698;UBS (Lux) Equity Fund - Asian Consumption (USD);   1291,40; 1291,13;2019-05-14
364158;UBS (Lux) Equity Fund - Biotech (USD);   5228,62; 5227,54;2019-05-13
529016;UBS (Lux) Equity Fund - Euro Countries Opportunity (EUR);   1043,00; 1042,81;2019-05-13
488932;UBS (Lux) Equity Fund - Global Sustainable (USD);   9241,91; 9239,99;2019-05-13
908806;UBS (Lux) Equity Fund - Greater China (USD);   4114,45; 4113,60;2019-05-14
579136;UBS (Lux) Equity Fund - Health Care (USD);   2573,54; 2573,01;2019-05-13
938902;UBS (Lux) Equity Fund - Japan (JPY);    764,40;  764,22;2019-05-14
889261;UBS (Lux) Equity Fund - Mid Caps USA (USD);  20058,43;20054,28;2019-05-13
614966;UBS (Lux) Equity Fund - Tech Opportunity (USD);   3704,34; 3703,57;2019-05-13
686626;UBS (Lux) Equity Fund - USA Multi Strategy (USD) P-acc;   1931,39; 1930,99;2019-05-13
823500;UBS (Lux) Equity Sicav - Asian Smaller Companies (USD);   1641,05; 1640,71;2019-05-14
806091;UBS (Lux) Equity Sicav - Brazil;    591,53;  591,41;2019-05-13
807867;UBS (Lux) Equity Sicav - Emerging Markets Sustainable;    830,93;  830,75;2019-05-13
322479;UBS (Lux) Equity Sicav - Euro Countries Income (EUR);   1235,27; 1235,05;2019-05-13
384511;UBS (Lux) Equity Sicav - European Opportunity Unconstrained;   2167,02; 2166,62;2019-05-13
770263;UBS (Lux) Equity Sicav - Russia;   1070,03; 1069,81;2019-05-13
116293;UBS (Lux) Equity Sicav - Small Caps Europe;   3947,22; 3946,49;2019-05-13
626945;UBS (Lux) Equity Sicav - USA Growth B;    377,35;  377,27;2019-05-13
772509;UBS (Lux) Key Selection SICAV - Global Equities (USD);    252,35;  252,30;2019-05-13
722454;UBS (Lux) Strategy Fund - Balanced (EUR);  28641,72;28636,42;2019-05-10
794115;UBS (Lux) Strategy Fund - Growth (EUR);  36523,14;36516,39;2019-05-10
144501;Ålandsbanken Euro Bond SEK;    307,71;  307,71;2019-05-13
955435;Ålandsbanken Euro High Yield;    483,55;  483,46;2019-05-13
238832;Ålandsbanken Europe Value;    344,20;  344,13;2019-05-13
989491;Ålandsbanken Global Aktie Placeringsfond;    126,34;  126,31;2019-05-13
521104;Ålandsbanken Norden Aktie Placeringsfond;   1118,81; 1118,81;2019-05-13
239301;Ålandsbanken Premium 30 Placeringsfond;    264,34;  264,34;2019-05-13
123901;Ålandsbanken Premium 50 Placeringsfond;    276,06;  276,06;2019-05-13
295857;Öhman Etisk Emerging Markets;    195,30;  195,30;2019-05-14
570630;Öhman Etisk Index Europa;    155,61;  155,61;2019-05-14
606467;Öhman Etisk Index Japan;    114,36;  114,36;2019-05-14
642298;Öhman Etisk Index Pacific;    270,27;  270,27;2019-05-14
577833;Öhman Etisk Index Sverige;    261,94;  261,94;2019-05-14
678128;Öhman Etisk Index USA;    254,74;  254,74;2019-05-14
660829;Öhman FRN Hållbar;    109,68;  109,68;2019-05-14
104786;Öhman Företagsobligationsfond;    119,85;  119,85;2019-05-14
964767;Öhman Global Hållbar;    252,59;  252,59;2019-05-14
294918;Öhman Kort Ränta;     95,83;   95,83;2019-05-14
330746;Öhman Obligationsfond;    133,79;  133,79;2019-05-14
844100;Öhman Realräntefond;    124,33;  124,33;2019-05-14
694539;Öhman Småbolagsfond A;   4274,80; 4274,80;2019-05-14
904904;Öhman Sverige Hållbar A;    150,11;  150,11;2019-05-14
416867;Öhman Sweden Micro Cap;   1125,25; 1125,25;2019-05-14
